NewVolSales,Price,Radio ,StockOutPct,InStoreProm,Discount,Facebook,Twitter,WebCamp,Inserts,Online,WebsiteCampaign ,NewspaperInserts,TV 
"18,524",2.72,208,2.83324,33.169,0,0,0,1,0,1,Website Campaign ,,135.1
"18,508",2.71,210,3.13095,47.023,0.049254633,0,0,1,0,1,Website Campaign ,,93.5
"17,431",2.745,221,2.90042,13.524,0,0,0,1,0,1,Website Campaign ,,212.9
"18,705",2.725,218,3.1472,34.331,0,0,0,1,0,1,Website Campaign ,,150
"18,941",2.72,201,2.89234,51.487,0,0,0,1,0,1,Website Campaign ,,5.2
"17,785",2.745,235,2.93475,18.201,0,0,0,0,0,0,,,246.9
"18,289",2.722,239,3.15862,34.074,0,0,0,0,0,0,,,213.9
"17,926",2.757,212,2.95312,34.684,0,0,0,0,0,0,,,0.9
"18,312",2.76,239,2.7384,39.253,0,0,0,0,1,0,,Insert,195.8
"19,126",2.75,280,2.80214,38.735,0,0,0,0,0,0,,,193.9
"18,335",2.768,292,3.0854,29.485,0,0,0,0,0,0,,,24.1
"19,054",2.75,312,2.65688,48.611,0.054209246,0,0,0,0,0,,,162.3
"18,198",2.771,315,2.92802,29.323,0.04,0,0,0,0,0,,,194.9
"20,495",2.754,343,2.53958,50.935,0.061,0,0,0,0,0,,,159.2
"18,169",2.794,330,2.6679,46.169,0.06053496,0,0,0,0,0,,,161.1
